"lake","date","year","DOY","microcystin"
"WW","2011-05-16",2011,136,0.08
"WW","2011-05-30",2011,150,0.08
"WW","2011-06-13",2011,164,0.08
"WW","2011-06-27",2011,178,0.08
"WW","2011-07-11",2011,192,0.08
"WW","2011-07-25",2011,206,0.08
"WW","2011-08-08",2011,220,0.08
"WW","2011-08-22",2011,234,0.08
"WW","2012-05-01",2012,122,0.29990043
"WW","2012-05-14",2012,135,0.08
"WW","2012-05-28",2012,149,0.08
"WW","2012-06-11",2012,163,0.08
"WW","2012-06-25",2012,177,0.08
"WW","2012-07-09",2012,191,0.08
"WW","2012-07-23",2012,205,0.971458628
"WW","2012-08-07",2012,220,3.916740527
"WW","2012-08-20",2012,233,0.224187969
"WW","2013-05-13",2013,133,0.08
"WW","2013-05-27",2013,147,0.207079808
"WW","2013-06-10",2013,161,0.08
"WW","2013-06-24",2013,175,0.315889065
"WW","2013-07-08",2013,189,2.217570409
"WW","2013-07-22",2013,203,5.362721887
"WW","2013-08-06",2013,218,0.755563239
"WW","2013-08-19",2013,231,1.35465442
"WW","2014-05-05",2014,125,0.08
"WW","2014-05-20",2014,140,0.08
"WW","2014-06-02",2014,153,0.08
"WW","2014-06-16",2014,167,0.08
"WW","2014-06-30",2014,181,0.08
"WW","2014-07-14",2014,195,0.08
"WW","2014-07-28",2014,209,0.08
"WW","2014-08-11",2014,223,0.08
"WW","2015-05-04",2015,124,0.08
"WW","2015-05-19",2015,139,0.08
"WW","2015-06-01",2015,152,0.167881167
"WW","2015-06-15",2015,166,0.08
"WW","2015-06-29",2015,180,0.211544322
"WW","2015-07-13",2015,194,0.210216781
"WW","2015-07-27",2015,208,0.164971425
"WW","2015-08-10",2015,222,0.293859602
"WW","2016-05-02",2016,123,0.08
"WW","2016-05-16",2016,137,0.08
"WW","2016-05-30",2016,151,0.08
"WW","2016-06-14",2016,166,0.08
"WW","2016-06-27",2016,179,0.507543545
"WW","2016-07-25",2016,207,0.08
"WW","2016-08-04",2016,217,0.08
